,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1012,EAST UTTAR PRADESH,1901.0,62.6,31.3,8.2,1.1,13.6,21.8,226.5,285.6,215.4,4.9,0.1,2.1,873.2
1013,EAST UTTAR PRADESH,1902.0,6.1,2.3,2.4,2.0,21.4,32.5,411.5,155.4,257.2,13.2,1.2,0.0,905.2
1014,EAST UTTAR PRADESH,1903.0,8.2,0.4,1.3,0.7,15.3,71.6,115.3,420.2,258.7,324.7,0.0,0.0,1216.4
1015,EAST UTTAR PRADESH,1904.0,7.3,1.5,8.3,0.4,28.7,148.0,359.4,328.8,95.0,50.6,17.0,26.3,1071.2
1016,EAST UTTAR PRADESH,1905.0,16.8,23.6,20.0,5.4,15.4,17.3,302.4,316.2,169.5,3.3,0.0,1.6,891.6
1017,EAST UTTAR PRADESH,1906.0,5.7,58.2,6.7,0.0,13.5,140.6,341.2,290.9,135.5,5.1,0.0,0.1,997.7
1018,EAST UTTAR PRADESH,1907.0,2.1,74.9,19.2,20.3,11.1,48.6,173.5,290.9,25.7,0.0,0.0,0.1,666.3
1019,EAST UTTAR PRADESH,1908.0,19.2,15.7,7.7,0.8,5.2,63.3,230.5,304.0,86.1,11.9,0.0,0.3,744.7
1020,EAST UTTAR PRADESH,1909.0,8.4,5.4,0.0,66.6,6.6,248.9,399.0,206.9,135.3,9.0,0.0,20.5,1106.9
1021,EAST UTTAR PRADESH,1910.0,4.4,0.2,0.5,1.6,28.6,163.8,231.1,341.4,213.5,103.0,28.0,0.2,1116.4
1022,EAST UTTAR PRADESH,1911.0,40.1,0.1,29.1,2.2,4.0,121.8,85.9,320.7,373.4,99.4,37.1,0.1,1113.9
1023,EAST UTTAR PRADESH,1912.0,16.0,7.3,6.5,5.7,18.8,60.6,336.5,279.1,117.6,0.7,30.2,0.5,879.6
1024,EAST UTTAR PRADESH,1913.0,0.6,37.1,32.0,0.5,68.7,175.0,222.0,200.0,95.7,15.5,0.0,14.5,861.4
1025,EAST UTTAR PRADESH,1914.0,1.3,16.1,21.8,8.3,55.3,37.2,407.7,346.1,92.1,2.6,0.1,0.2,988.8
1026,EAST UTTAR PRADESH,1915.0,12.5,45.5,25.6,5.8,20.1,107.9,285.4,417.2,387.4,98.6,1.9,1.9,1409.8
