,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1127,WEST UTTAR PRADESH,1901.0,51.4,25.6,9.5,0.7,5.6,23.8,201.9,374.3,67.7,7.6,0.0,7.9,775.9
1128,WEST UTTAR PRADESH,1902.0,4.6,4.6,0.6,4.8,7.2,54.5,325.9,180.6,143.1,9.6,0.9,0.2,736.6
1129,WEST UTTAR PRADESH,1903.0,13.4,0.4,1.2,0.0,8.2,32.7,145.4,279.1,150.4,177.3,0.0,0.4,808.4
1130,WEST UTTAR PRADESH,1904.0,6.3,2.0,29.7,0.4,24.8,68.5,358.8,311.1,97.1,2.7,15.7,28.2,945.2
1131,WEST UTTAR PRADESH,1905.0,32.3,26.6,14.8,3.6,7.1,18.9,139.8,95.0,92.2,0.2,0.0,2.9,433.5
1132,WEST UTTAR PRADESH,1906.0,3.3,63.2,21.5,0.2,3.4,206.5,240.5,172.6,260.6,1.1,0.0,5.7,978.7
1133,WEST UTTAR PRADESH,1907.0,13.8,64.8,17.6,27.2,9.6,15.8,176.5,263.9,0.5,0.0,0.0,0.0,589.5
1134,WEST UTTAR PRADESH,1908.0,22.4,11.4,1.7,1.9,12.0,44.4,325.2,409.1,35.8,0.2,0.7,1.3,866.3
1135,WEST UTTAR PRADESH,1909.0,16.7,6.1,0.1,69.0,2.8,163.3,350.6,155.1,106.8,1.1,0.0,31.4,903.0
1136,WEST UTTAR PRADESH,1910.0,11.1,2.5,0.0,1.4,13.5,88.0,120.3,274.5,205.4,149.5,9.1,0.4,875.9
1137,WEST UTTAR PRADESH,1911.0,63.8,0.5,31.6,0.8,0.3,58.8,57.4,135.6,346.2,17.2,38.9,0.6,751.6
1138,WEST UTTAR PRADESH,1912.0,24.5,6.0,8.5,4.1,5.0,27.5,238.1,224.8,254.8,0.1,9.5,1.4,804.5
1139,WEST UTTAR PRADESH,1913.0,0.2,37.4,27.0,1.8,52.0,124.2,123.7,101.2,19.7,0.9,0.7,6.4,495.3
1140,WEST UTTAR PRADESH,1914.0,0.1,8.5,21.8,17.9,30.5,48.3,335.2,195.6,212.8,11.3,5.5,0.0,887.5
1141,WEST UTTAR PRADESH,1915.0,20.2,60.7,50.3,7.4,11.9,58.5,196.0,241.3,136.0,18.4,0.0,1.8,802.5
1142,WEST UTTAR PRADESH,1916.0,0.1,17.9,0.0,2.5,10.4,139.9,299.7,356.9,230.5,48.9,7.4,0.0,1114.2
1143,WEST UTTAR PRADESH,1917.0,9.7,25.6,11.7,16.8,48.5,101.8,298.1,235.5,288.9,80.1,0.0,3.5,1120.2
1144,WEST UTTAR PRADESH,1918.0,7.2,0.7,10.9,4.9,5.5,83.6,72.9,161.0,20.3,0.2,4.1,0.6,371.9
1145,WEST UTTAR PRADESH,1919.0,68.6,4.4,3.3,5.8,14.2,19.5,311.4,381.6,129.6,12.1,3.7,14.7,969.1
1146,WEST UTTAR PRADESH,1920.0,5.2,9.3,9.7,0.4,19.6,128.1,332.4,88.2,28.1,1.8,0.0,0.0,622.8
1147,WEST UTTAR PRADESH,1921.0,50.0,0.7,1.1,3.4,0.5,141.8,164.5,384.6,232.7,12.6,0.0,0.3,992.3
1148,WEST UTTAR PRADESH,1922.0,36.8,4.1,0.0,1.6,2.6,77.6,326.3,336.9,190.7,2.9,0.9,20.4,1000.8
1149,WEST UTTAR PRADESH,1923.0,4.9,39.7,0.3,0.0,7.4,8.1,209.8,350.4,204.1,39.7,1.4,36.4,902.3
1150,WEST UTTAR PRADESH,1924.0,29.1,20.3,2.2,0.2,7.7,17.8,308.8,256.6,354.7,41.7,1.6,23.4,1064.1
1151,WEST UTTAR PRADESH,1925.0,4.2,0.2,0.1,5.5,12.5,207.5,403.3,227.0,58.5,5.3,19.8,0.0,943.8
1152,WEST UTTAR PRADESH,1926.0,13.0,8.2,53.7,14.6,24.9,15.9,282.3,312.4,168.2,22.2,1.3,0.4,917.0
1153,WEST UTTAR PRADESH,1927.0,0.0,23.0,19.2,4.4,19.1,73.4,252.6,316.0,66.7,104.4,42.0,13.4,934.2
1154,WEST UTTAR PRADESH,1928.0,28.6,89.9,1.9,7.8,8.6,55.9,262.4,85.1,33.7,43.2,8.6,18.9,644.6
1155,WEST UTTAR PRADESH,1929.0,26.3,2.5,1.9,5.7,1.5,83.0,210.7,234.7,32.7,18.4,0.8,32.2,650.1
1156,WEST UTTAR PRADESH,1930.0,23.8,18.3,0.6,2.6,4.3,64.0,369.6,219.7,50.4,30.9,0.2,4.0,788.1
1157,WEST UTTAR PRADESH,1931.0,0.5,25.9,6.3,0.4,6.3,16.2,217.0,224.3,349.5,84.0,0.2,0.2,930.8
1158,WEST UTTAR PRADESH,1932.0,0.0,4.2,13.0,4.2,2.9,24.3,175.3,178.7,286.7,0.1,8.6,7.9,706.0
1159,WEST UTTAR PRADESH,1933.0,5.5,14.7,6.0,19.6,33.3,239.0,205.5,224.0,199.6,85.9,1.0,1.4,1035.3
1160,WEST UTTAR PRADESH,1934.0,28.1,1.8,27.7,1.0,0.9,120.7,217.2,343.3,144.1,1.0,0.8,11.1,897.7
1161,WEST UTTAR PRADESH,1935.0,28.4,22.0,2.8,15.9,0.2,16.8,321.4,170.9,174.6,2.3,2.9,26.5,784.6
1162,WEST UTTAR PRADESH,1936.0,3.5,16.9,11.9,2.5,17.5,291.2,353.9,284.1,194.1,1.5,12.9,28.6,1218.4
1163,WEST UTTAR PRADESH,1937.0,0.3,64.6,1.8,11.5,10.5,66.1,211.8,164.8,131.7,2.2,0.9,10.7,676.7
1164,WEST UTTAR PRADESH,1938.0,39.2,5.9,0.1,1.1,7.9,158.8,273.6,182.2,42.6,18.5,0.5,0.0,730.4
1165,WEST UTTAR PRADESH,1939.0,8.0,21.2,6.3,0.6,2.9,130.2,235.5,101.7,211.5,3.2,0.0,0.0,721.1
1166,WEST UTTAR PRADESH,1940.0,21.1,39.3,19.1,5.8,5.7,40.4,232.4,348.7,53.9,1.5,0.2,15.8,783.9
1167,WEST UTTAR PRADESH,1941.0,35.6,8.3,1.6,0.0,16.0,87.6,56.2,221.6,83.0,4.4,0.0,2.0,516.4
1168,WEST UTTAR PRADESH,1942.0,33.2,54.3,1.3,5.9,5.4,98.0,362.4,320.1,193.9,0.0,0.0,13.7,1088.2
1169,WEST UTTAR PRADESH,1943.0,25.8,0.5,2.8,13.9,11.2,75.7,186.6,379.5,149.8,4.5,0.0,0.1,850.4
1170,WEST UTTAR PRADESH,1944.0,32.3,43.2,44.4,25.1,0.4,76.5,255.4,183.2,87.1,21.0,0.6,1.2,770.3
1171,WEST UTTAR PRADESH,1945.0,35.5,0.0,0.5,4.6,4.4,31.0,309.5,260.0,278.8,41.6,0.0,0.1,966.0
1172,WEST UTTAR PRADESH,1946.0,0.1,19.3,0.7,11.9,20.4,92.2,378.2,277.6,40.0,31.5,18.2,6.7,896.6
1173,WEST UTTAR PRADESH,1947.0,18.1,12.2,11.0,0.2,2.9,47.4,237.3,197.8,263.6,11.1,0.0,7.4,809.2
1174,WEST UTTAR PRADESH,1948.0,37.2,18.8,11.9,0.3,5.3,9.2,310.3,422.8,179.7,22.5,9.6,0.5,1028.1
1175,WEST UTTAR PRADESH,1949.0,0.6,38.3,3.4,3.2,10.7,14.5,339.0,267.7,207.8,21.3,0.0,0.1,906.7
1176,WEST UTTAR PRADESH,1950.0,21.1,5.8,21.2,0.7,7.1,47.7,265.9,311.2,138.4,0.2,0.0,14.8,834.0
1177,WEST UTTAR PRADESH,1951.0,16.4,8.2,34.9,6.6,11.5,31.7,141.0,253.4,199.9,6.5,18.7,0.0,728.9
1178,WEST UTTAR PRADESH,1952.0,6.6,20.0,23.4,2.6,8.1,190.8,198.8,379.1,36.2,2.3,0.1,7.3,875.3
1179,WEST UTTAR PRADESH,1953.0,36.9,0.5,0.0,5.9,7.4,64.6,366.8,192.8,85.1,1.1,0.0,0.5,761.8
1180,WEST UTTAR PRADESH,1954.0,34.9,67.6,11.0,0.1,0.7,40.8,232.5,222.7,169.0,99.9,0.0,0.0,879.3
1181,WEST UTTAR PRADESH,1955.0,44.8,5.7,2.4,3.3,2.1,98.1,199.4,295.2,216.2,193.7,0.0,0.0,1060.9
1182,WEST UTTAR PRADESH,1956.0,23.1,4.3,22.2,0.4,12.4,67.2,334.7,289.8,96.8,206.5,4.5,2.6,1064.4
1183,WEST UTTAR PRADESH,1957.0,59.7,0.3,29.1,5.4,2.4,42.3,282.3,271.1,278.9,18.2,3.2,12.3,1005.2
1184,WEST UTTAR PRADESH,1958.0,7.7,2.8,3.5,5.5,0.7,42.1,397.1,327.3,246.7,122.4,0.2,9.4,1165.3
1185,WEST UTTAR PRADESH,1959.0,46.3,3.9,5.7,1.3,34.1,18.9,203.5,281.1,106.8,50.2,16.5,0.0,768.3
1186,WEST UTTAR PRADESH,1960.0,11.6,0.0,33.9,2.3,5.8,64.9,334.9,391.9,94.7,187.7,0.0,1.9,1129.8
1187,WEST UTTAR PRADESH,1961.0,44.5,33.1,0.1,2.1,7.6,73.4,302.5,467.5,113.5,141.4,1.9,10.5,1198.3
1188,WEST UTTAR PRADESH,1962.0,34.0,18.6,15.1,0.8,2.2,45.9,221.2,238.0,214.6,0.1,1.6,6.1,798.2
1189,WEST UTTAR PRADESH,1963.0,13.6,5.0,5.2,3.5,9.7,70.9,165.4,361.4,279.5,0.3,10.9,4.3,929.7
1190,WEST UTTAR PRADESH,1964.0,2.3,0.8,1.9,0.6,20.2,38.8,416.3,246.7,261.0,1.6,0.2,11.6,1002.0
1191,WEST UTTAR PRADESH,1965.0,8.0,10.4,10.6,21.1,10.6,3.7,215.4,219.4,148.4,25.3,0.0,0.7,673.5
1192,WEST UTTAR PRADESH,1966.0,6.0,13.0,0.8,0.2,20.5,143.3,146.5,356.5,49.3,9.3,7.8,2.9,756.0
1193,WEST UTTAR PRADESH,1967.0,0.5,0.1,34.4,1.3,3.8,51.8,263.6,509.6,223.5,4.8,2.1,61.6,1157.2
1194,WEST UTTAR PRADESH,1968.0,21.8,8.4,10.0,0.3,0.1,46.4,319.3,205.0,64.7,15.6,0.0,1.5,693.3
